"address","categoryName","claimThisBusiness","googleFoodUrl","hotelStars","location/lat","location/lng","locatedIn","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","price","rank","state","street","title","totalScore","url","website","reviewsCount"
"MPRR+X8F, Hẻm 2020/50-52 Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.6924292","106.7407931",,"Thứ Ba","07:00 to 22:00","Thứ Tư","07:00 to 22:00","Thứ Năm","07:00 to 22:00","Thứ Sáu","07:00 to 22:00","Thứ Bảy","07:00 to 22:00","Chủ Nhật","07:00 to 22:00","Thứ Hai","07:00 to 22:00",,"51","Nhà Bè, Hồ Chí Minh","MPRR+X8F, Hẻm 2020/50-52 Huỳnh Tấn Phát","Cửa Hàng Trái Cây 2020","4","https://www.google.com/maps/search/?api=1&query=C%E1%BB%ADa%20H%C3%A0ng%20Tr%C3%A1i%20C%C3%A2y%202020&query_place_id=ChIJkcklK7E6dTERIsu4ilM_0zQ",,"1"
"2129 Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.6929143","106.7409174",,,,,,,,,,,,,,,,,"50","Nhà Bè, Hồ Chí Minh","2129 Huỳnh Tấn Phát","BÚN BÒ HUẾ A ĐỨC","3.6","https://www.google.com/maps/search/?api=1&query=B%C3%9AN%20B%C3%92%20HU%E1%BA%BE%20A%20%C4%90%E1%BB%A8C&query_place_id=ChIJ83I3Y5E7dTEROk9Y-ba4gsw",,"18"
"45/39 Đ. Huỳnh Thị Đồng, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Quán ăn nhỏ","true",,,"10.6970987","106.7408749",,"Thứ Ba","10:00 to 22:00","Thứ Tư","10:00 to 22:00","Thứ Năm","10:00 to 22:00","Thứ Sáu","10:00 to 22:00","Thứ Bảy","10:00 to 22:00","Chủ Nhật","10:00 to 22:00","Thứ Hai","10:00 to 22:00",,"49","Nhà Bè, Hồ Chí Minh","45/39 Đ. Huỳnh Thị Đồng","Bé Heo Bán Bò Ngon 7 Món",,"https://www.google.com/maps/search/?api=1&query=B%C3%A9%20Heo%20B%C3%A1n%20B%C3%B2%20Ngon%207%20M%C3%B3n&query_place_id=ChIJDXICSic7dTERnEj95BCv84I",,"0"
"59 Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.6941738","106.7404719",,,,,,,,,,,,,,,,,"46","Nhà Bè, Hồ Chí Minh","59 Huỳnh Tấn Phát","Phở Lý Quốc Sư",,"https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20L%C3%BD%20Qu%E1%BB%91c%20S%C6%B0&query_place_id=ChIJZ8toV7E6dTERDFp4YgsqG_A",,"0"
"Việt Nam, Hồ Chí Minh, Nhà Bè, Huỳnh Tấn Phát, Hẻm 1979","Nhà hàng","true",,,"10.6970666","106.7412098",,,,,,,,,,,,,,,,,"42","Nhà Bè, Hồ Chí Minh","Huỳnh Tấn Phát, Hẻm 1979","Dê Tươi Tài Ký 2","4.4","https://www.google.com/maps/search/?api=1&query=D%C3%AA%20T%C6%B0%C6%A1i%20T%C3%A0i%20K%C3%BD%202&query_place_id=ChIJCzfjcPY7dTERNPn0XPo-Lcc",,"7"
"1703A Huỳnh Tấn Phát, TT. Nhà Bè, Thành phố Hồ Chí Minh, Hồ Chí Minh 700000, Việt Nam","Quán ăn nhỏ","false",,,"10.6966566","106.7394326",,"Thứ Ba","08:00 to 22:00","Thứ Tư","08:00 to 22:00","Thứ Năm","08:00 to 22:00","Thứ Sáu","08:00 to 22:00","Thứ Bảy","08:00 to 22:00","Chủ Nhật","08:00 to 22:00","Thứ Hai","08:00 to 22:00","$$","40","Thành phố Hồ Chí Minh, Hồ Chí Minh","1703A Huỳnh Tấn Phát","Quán Bún Mắm Cẩm Tú","3.9","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20B%C3%BAn%20M%E1%BA%AFm%20C%E1%BA%A9m%20T%C3%BA&query_place_id=ChIJl8tKeE4ldTERM3OhzyT-UCM","https://www.foody.vn/ho-chi-minh/bun-mam-cam-tu","302"
"28 Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.6962785","106.7397351",,,,,,,,,,,,,,,,,"39","Nhà Bè, Hồ Chí Minh","28 Huỳnh Tấn Phát","Quán Ăn Hồng Ký",,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20%C4%82n%20H%E1%BB%93ng%20K%C3%BD&query_place_id=ChIJlTd_vbM6dTERqkbFmL-op8k",,"0"
"1906 Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.6949157","106.7399518",,,,,,,,,,,,,,,,,"37","Nhà Bè, Hồ Chí Minh","1906 Huỳnh Tấn Phát","HƯƠNG VIỆT",,"https://www.google.com/maps/search/?api=1&query=H%C6%AF%C6%A0NG%20VI%E1%BB%86T&query_place_id=ChIJN3XQcks7dTER8Mt5puB1Shw",,"0"
"1806/111D, Huỳnh Tấn Phát, Phú Xuân, Nhà Bè, Hồ Chí Minh, Việt Nam","Quán ăn nhỏ","false",,,"10.6960783","106.7341434",,"Thứ Ba","09:30 to 19:00","Thứ Tư","09:30 to 19:00","Thứ Năm","09:30 to 19:00","Thứ Sáu","09:30 to 19:00","Thứ Bảy","09:30 to 19:00","Chủ Nhật","09:30 to 19:00","Thứ Hai","09:30 to 19:00",,"35","Nhà Bè, Hồ Chí Minh","1806/111D, Huỳnh Tấn Phát","Bánh Xèo Miền Tây Hồng Hạnh","4.7","https://www.google.com/maps/search/?api=1&query=B%C3%A1nh%20X%C3%A8o%20Mi%E1%BB%81n%20T%C3%A2y%20H%E1%BB%93ng%20H%E1%BA%A1nh&query_place_id=ChIJxRre8Pw7dTER9cGN27wOOBk",,"3"
"1872 Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Quán ăn nhỏ","false",,,"10.6958248","106.739624",,"Thứ Ba","06:00 to 21:00","Thứ Tư","06:00 to 21:00","Thứ Năm","06:00 to 21:00","Thứ Sáu","06:00 to 21:00","Thứ Bảy","06:00 to 21:00","Chủ Nhật","06:00 to 21:00","Thứ Hai","06:00 to 21:00",,"36","Nhà Bè, Hồ Chí Minh","1872 Huỳnh Tấn Phát","Bún Bò Huế Hồng Hà","4.5","https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20B%C3%B2%20Hu%E1%BA%BF%20H%E1%BB%93ng%20H%C3%A0&query_place_id=ChIJP8wzOlI7dTER7swdVm0tiLY",,"15"
"2007 Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Quán ăn truyền thống Ghana","false","https://food.google.com/chooseprovider?restaurantId=/g/11vqtt03y8&g2lbs=AOHF13n6u-50KAqf3NRcmsG5VxU7X6AkzfTp5oqGtXz4qiJ7dpj0V9HQR6jXa3heTFqLuJ3aE2vWV3fLBsCi9CowO_5mmZLte0331w0ljkUkvMYa4gdRMHN-tMv4O0YB1HokH9HJjfPn&hl=vi-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=unB6Zq_UOqahptQPnfCs6A4&ei=unB6Zq_UOqahptQPnfCs6A4&fo_s=OA,SOE&opi=79508299&foub=mcpp",,"10.6961496","106.7397758",,"Thứ Ba","Mở cửa cả ngày","Thứ Tư","Mở cửa cả ngày","Thứ Năm","Mở cửa cả ngày","Thứ Sáu","Mở cửa cả ngày","Thứ Bảy","Mở cửa cả ngày","Chủ Nhật","Mở cửa cả ngày","Thứ Hai","Mở cửa cả ngày",,"38","Nhà Bè, Hồ Chí Minh","2007 Huỳnh Tấn Phát","CHAY GIA ĐÌNH NHẬT HẠ","5","https://www.google.com/maps/search/?api=1&query=CHAY%20GIA%20%C4%90%C3%8CNH%20NH%E1%BA%ACT%20H%E1%BA%A0&query_place_id=ChIJK6vsdQA7dTERWsl9tkRaTVU",,"2"
"326 Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.6945043","106.7400668",,"Thứ Ba","06:00 to 18:30","Thứ Tư","06:00 to 18:30","Thứ Năm","06:00 to 18:30","Thứ Sáu","06:00 to 18:30","Thứ Bảy","06:00 to 18:30","Chủ Nhật","06:00 to 18:30","Thứ Hai","06:00 to 18:30",,"34","Nhà Bè, Hồ Chí Minh","326 Huỳnh Tấn Phát","Cháo Dinh Dưỡng Ngonmely","4.5","https://www.google.com/maps/search/?api=1&query=Ch%C3%A1o%20Dinh%20D%C6%B0%E1%BB%A1ng%20Ngonmely&query_place_id=ChIJJVxv4rM6dTER0K3A3pcKWvo",,"6"
"MPQR+JWR, Huỳnh Tấn Phát, Khu Phố 6, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.6891115","106.7422525",,,,,,,,,,,,,,,,,"38","Nhà Bè, Hồ Chí Minh","MPQR+JWR, Huỳnh Tấn Phát","Quán Hủ Tiếu Ruby",,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20H%E1%BB%A7%20Ti%E1%BA%BFu%20Ruby&query_place_id=ChIJLfI0Wbc6dTER74yTMr5TRq8",,"0"
"1806/23, Huỳnh Tấn Phát, Phú Xuân, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng gia đình","false",,,"10.6957436","106.7383031",,,,,,,,,,,,,,,,,"33","Nhà Bè, Hồ Chí Minh","1806/23, Huỳnh Tấn Phát","Món ngon nhà út","5","https://www.google.com/maps/search/?api=1&query=M%C3%B3n%20ngon%20nh%C3%A0%20%C3%BAt&query_place_id=ChIJ12pCokoxdTERDP7osvNW6RQ","https://mon-ngon-nha-ut.com.vn/","2"
"2036 Huỳnh Tấn Phát, khu phố 7, Nhà Bè, Hồ Chí Minh 70000, Việt Nam","Trung tâm bán lẻ trực tiếp","false",,,"10.6906092","106.7409663",,"Thứ Ba","06:00 to 21:00","Thứ Tư","06:00 to 21:00","Thứ Năm","06:00 to 21:00","Thứ Sáu","06:00 to 21:00","Thứ Bảy","06:00 to 21:00","Chủ Nhật","06:00 to 21:00","Thứ Hai","06:00 to 21:00",,"39","Nhà Bè, Hồ Chí Minh","2036 Huỳnh Tấn Phát","Vựa Khô Cá 5 Khanh - Chuyên Sỉ & Lẻ Khô Các Loại","5","https://www.google.com/maps/search/?api=1&query=V%E1%BB%B1a%20Kh%C3%B4%20C%C3%A1%205%20Khanh%20-%20Chuy%C3%AAn%20S%E1%BB%89%20%26%20L%E1%BA%BB%20Kh%C3%B4%20C%C3%A1c%20Lo%E1%BA%A1i&query_place_id=ChIJO5o4oBA7dTERnoeAczoLvdA",,"23"
"1979/3b Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng ăn chay","true",,,"10.6970404","106.7408869",,,,,,,,,,,,,,,,,"37","Nhà Bè, Hồ Chí Minh","1979/3b Huỳnh Tấn Phát","CHAY NHÀ BAL'S",,"https://www.google.com/maps/search/?api=1&query=CHAY%20NH%C3%80%20BAL'S&query_place_id=ChIJiQFoUAA7dTERIJj5oHnmYoo",,"0"
"MPVR+V2F, Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.6946787","106.7400367",,"Thứ Ba","08:00 to 21:00","Thứ Tư","08:00 to 21:00","Thứ Năm","08:00 to 21:00","Thứ Sáu","08:00 to 21:00","Thứ Bảy","08:00 to 21:00","Chủ Nhật","08:00 to 21:00","Thứ Hai","08:00 to 21:00",,"32","Nhà Bè, Hồ Chí Minh","MPVR+V2F, Huỳnh Tấn Phát","Quán Trà Sữa - Huỳnh Tấn Phát",,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20Tr%C3%A0%20S%E1%BB%AFa%20-%20Hu%E1%BB%B3nh%20T%E1%BA%A5n%20Ph%C3%A1t&query_place_id=ChIJKbp-WrE6dTERRMs1YEL2Sg8",,"0"
"MPWM+G7Q, 1806, Phú Xuân, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.6963274","106.7332226",,"Thứ Ba","08:00 to 22:00","Thứ Tư","08:00 to 22:00","Thứ Năm","08:00 to 22:00","Thứ Sáu","08:00 to 22:00","Thứ Bảy","08:00 to 22:00","Chủ Nhật","08:00 to 22:00","Thứ Hai","08:00 to 22:00",,"31","Nhà Bè, Hồ Chí Minh","MPWM+G7Q, 1806","Quán Ăn Gia Bình Sông Quê 6","4","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20%C4%82n%20Gia%20B%C3%ACnh%20S%C3%B4ng%20Qu%C3%AA%206&query_place_id=ChIJDWXDuK06dTERtB6j3VTXvmM",,"1"
"48/82/7 Đặng Nhữ Lâm, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng ăn nhanh","false",,,"10.6946163","106.7403803",,"Thứ Ba","Mở cửa cả ngày","Thứ Tư","Mở cửa cả ngày","Thứ Năm","Mở cửa cả ngày","Thứ Sáu","Mở cửa cả ngày","Thứ Bảy","Mở cửa cả ngày","Chủ Nhật","Mở cửa cả ngày","Thứ Hai","Mở cửa cả ngày",,"36","Nhà Bè, Hồ Chí Minh","48/82/7 Đặng Nhữ Lâm","Cao lầu Cô Thu","5","https://www.google.com/maps/search/?api=1&query=Cao%20l%E1%BA%A7u%20C%C3%B4%20Thu&query_place_id=ChIJkb2Qe-87dTER-voCjAAsAK0",,"2"
"MPWQ+MP8, Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.6966531","106.739329",,"Thứ Ba","07:00 to 22:00","Thứ Tư","07:00 to 22:00","Thứ Năm","07:00 to 22:00","Thứ Sáu","07:00 to 22:00","Thứ Bảy","07:00 to 22:00","Chủ Nhật","07:00 to 22:00","Thứ Hai","07:00 to 22:00",,"35","Nhà Bè, Hồ Chí Minh","MPWQ+MP8, Huỳnh Tấn Phát","Quán Cơm Tấm Sáu Việt","5","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20C%C6%A1m%20T%E1%BA%A5m%20S%C3%A1u%20Vi%E1%BB%87t&query_place_id=ChIJ7T9fWLE6dTER6NeAH0XYW2c",,"1"
"329 Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng cơm","true",,,"10.6931283","106.7408357",,"Thứ Ba","06:00 to 21:00","Thứ Tư","06:00 to 21:00","Thứ Năm","06:00 to 21:00","Thứ Sáu","06:00 to 21:00","Thứ Bảy","06:00 to 21:00","Chủ Nhật","06:00 to 21:00","Thứ Hai","06:00 to 21:00",,"33","Nhà Bè, Hồ Chí Minh","329 Huỳnh Tấn Phát","Quán Cơm Tấm Bò Né Anh Thư","4.3","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20C%C6%A1m%20T%E1%BA%A5m%20B%C3%B2%20N%C3%A9%20Anh%20Th%C6%B0&query_place_id=ChIJ7TXeNbE6dTERuPirY-E2IKE",,"3"
"2185 Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng","false","https://food.google.com/chooseprovider?restaurantId=/g/11s57frky_&g2lbs=AOHF13ltfV8vrpk6RV2Xemzn_CUzSzhhPjs7pnBzdZ4iuuk4wrsYDMu91chdscTaujgN7X3VvREmMYKeuUm5DDSaaOxhqtMkgGfNdc-nLjV_jlY9XDRk7bVKQCt_2mn4w5Q692TrVvz-&hl=vi-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=7XB6ZsSdGams5NoP8OGniAo&ei=7XB6ZsSdGams5NoP8OGniAo&fo_s=OA,SOE&opi=79508299&foub=mcpp",,"10.6907101","106.7417974",,"Thứ Ba","06:00 to 22:00","Thứ Tư","06:00 to 22:00","Thứ Năm","06:00 to 22:00","Thứ Sáu","06:00 to 22:00","Thứ Bảy","06:00 to 22:00","Chủ Nhật","06:00 to 22:00","Thứ Hai","06:00 to 22:00",,"34","Nhà Bè, Hồ Chí Minh","2185 Huỳnh Tấn Phát","Mỳ cay - Gà Rán - Trà Sữa- Ăn Vặt 79","4.2","https://www.google.com/maps/search/?api=1&query=M%E1%BB%B3%20cay%20-%20G%C3%A0%20R%C3%A1n%20-%20Tr%C3%A0%20S%E1%BB%AFa-%20%C4%82n%20V%E1%BA%B7t%2079&query_place_id=ChIJd5R1nzA7dTERM6S32aZ6YxY",,"11"
"286 Huỳnh Tấn Phát, Phú Xuân, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.6950761","106.7384694",,"Thứ Ba","09:00 to 22:00","Thứ Tư","09:00 to 22:00","Thứ Năm","09:00 to 22:00","Thứ Sáu","09:00 to 22:00","Thứ Bảy","09:00 to 22:00","Chủ Nhật","09:00 to 22:00","Thứ Hai","09:00 to 22:00",,"32","Nhà Bè, Hồ Chí Minh","286 Huỳnh Tấn Phát","Quán Ăn Phú Quý","4","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20%C4%82n%20Ph%C3%BA%20Qu%C3%BD&query_place_id=ChIJue8h0rM6dTERDWnlvSqiZ8Q",,"3"
"19 Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng chuyên phục vụ bữa sáng","true",,,"10.6970829","106.73947",,,,,,,,,,,,,,,,,"29","Nhà Bè, Hồ Chí Minh","19 Huỳnh Tấn Phát","Bò né Út Xuyến",,"https://www.google.com/maps/search/?api=1&query=B%C3%B2%20n%C3%A9%20%C3%9At%20Xuy%E1%BA%BFn&query_place_id=ChIJE3PK9YM7dTERXe4-9WkLAMM",,"0"
"48/8 Hẻm 342, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng Anh hiện đại","false","https://food.google.com/chooseprovider?restaurantId=/g/11k646cy8s&g2lbs=AOHF13nLzfSU4Wyq6cwQP1qjUCXYqowIU7D3RAEsqN3AkQ-NToSdCvZXbZBwPRxKLwG0qQvSt6Fwokyfh430f5pxbyu7E3EXRmbWH-7mVCSXOMMp4IBM1cpFMFzzwmKpR7UAyjZDEEdF&hl=vi-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=AHF6ZpyBIvSt5NoP5Y2CkAo&ei=AHF6ZpyBIvSt5NoP5Y2CkAo&fo_s=OA,SOE&opi=79508299&foub=mcpp",,"10.6939047","106.7399091",,"Thứ Ba","06:00 to 21:00","Thứ Tư","06:00 to 21:00","Thứ Năm","06:00 to 21:00","Thứ Sáu","06:00 to 21:00","Thứ Bảy","06:00 to 21:00","Chủ Nhật","06:00 to 21:00","Thứ Hai","06:00 to 21:00",,"30","Nhà Bè, Hồ Chí Minh","48/8 Hẻm 342","Ăn vặt Hùng Anh 1942/24","4.5","https://www.google.com/maps/search/?api=1&query=%C4%82n%20v%E1%BA%B7t%20H%C3%B9ng%20Anh%201942%2F24&query_place_id=ChIJ95Rc4JQ7dTER6evCgy1WPTQ",,"2"
"19 Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.6970972","106.7394932",,"Thứ Ba","06:00 to 22:00","Thứ Tư","06:00 to 22:00","Thứ Năm","06:00 to 22:00","Thứ Sáu","06:00 to 22:00","Thứ Bảy","06:00 to 22:00","Chủ Nhật","06:00 to 22:00","Thứ Hai","06:00 to 22:00",,"28","Nhà Bè, Hồ Chí Minh","19 Huỳnh Tấn Phát","Quán Phở 19/9","4.5","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20Ph%E1%BB%9F%2019%2F9&query_place_id=ChIJVVmPCbM6dTERunsDYEY3pLo",,"2"
"KC76/2 Huỳnh Tấn Phát, Phú Xuân, Nhà Bè, Hồ Chí Minh, Việt Nam","Quán mì","false",,,"10.6925582","106.7389068",,"Thứ Ba","10:00 to 20:00","Thứ Tư","10:00 to 20:00","Thứ Năm","10:00 to 20:00","Thứ Sáu","10:00 to 20:00","Thứ Bảy","10:00 to 20:00","Chủ Nhật","10:00 to 20:00","Thứ Hai","10:00 to 20:00",,"27","Nhà Bè, Hồ Chí Minh","KC76/2 Huỳnh Tấn Phát","NOODLE PLUS",,"https://www.google.com/maps/search/?api=1&query=NOODLE%20PLUS&query_place_id=ChIJrU-Sjag7dTER5MoSEOxt438",,"0"
"206/124, Huỳnh Tấn Phát, Huyện Nhà Bè, Phú Xuân, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.6968102","106.7360123",,"Thứ Ba","09:00 to 21:00","Thứ Tư","09:00 to 21:00","Thứ Năm","09:00 to 21:00","Thứ Sáu","09:00 to 21:00","Thứ Bảy","09:00 to 21:00","Chủ Nhật","09:00 to 21:00","Thứ Hai","09:00 to 21:00","$$","26","Nhà Bè, Hồ Chí Minh","206/124, Huỳnh Tấn Phát, Huyện Nhà Bè","Quán Bờ Sông Thanh Thảo","4.2","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20B%E1%BB%9D%20S%C3%B4ng%20Thanh%20Th%E1%BA%A3o&query_place_id=ChIJd5jZZLI6dTERkl0bRMSDWxo","https://www.google.com/mapmaker?hl=vi","52"
"2018 Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.6918375","106.7410317",,"Thứ Ba","10:00 to 21:00","Thứ Tư","10:00 to 21:00","Thứ Năm","10:00 to 21:00","Thứ Sáu","10:00 to 21:00","Thứ Bảy","10:00 to 21:00","Chủ Nhật","10:00 to 21:00","Thứ Hai","10:00 to 21:00","$$","25","Nhà Bè, Hồ Chí Minh","2018 Huỳnh Tấn Phát","Quán 22","4.3","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%2022&query_place_id=ChIJtQIiK7E6dTERcqmoPBdet3M",,"71"
"MPQR+MQC, Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng châu Á","true",,,"10.6891984","106.7419047",,,,,,,,,,,,,,,,,"24","Nhà Bè, Hồ Chí Minh","MPQR+MQC, Huỳnh Tấn Phát","Cơm tấm ngô quyền",,"https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20t%E1%BA%A5m%20ng%C3%B4%20quy%E1%BB%81n&query_place_id=ChIJU1PSdQA7dTERs4bcQG8J0wU",,"0"
"1998A Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh 700000, Việt Nam","Nhà hàng châu Á","true",,,"10.6923816","106.7408708",,,,,,,,,,,,,,,,,"22","Nhà Bè, Hồ Chí Minh","1998A Huỳnh Tấn Phát","Kiệm Bò lá lốt mỡ chài","5","https://www.google.com/maps/search/?api=1&query=Ki%E1%BB%87m%20B%C3%B2%20l%C3%A1%20l%E1%BB%91t%20m%E1%BB%A1%20ch%C3%A0i&query_place_id=ChIJiZ_LcAA7dTERUrdEln3-ZSI",,"1"
"1790 Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng","false",,,"10.6977417","106.7389529",,"Thứ Ba","06:00 to 12:30, 15:30 to 21:00","Thứ Tư","06:00 to 12:30, 15:30 to 21:00","Thứ Năm","06:00 to 12:30, 15:30 to 21:00","Thứ Sáu","06:00 to 12:30, 15:30 to 21:00","Thứ Bảy","06:00 to 12:30, 15:30 to 21:00","Chủ Nhật","06:00 to 13:00","Thứ Hai","06:00 to 13:00, 15:30 to 21:00",,"8","Nhà Bè, Hồ Chí Minh","1790 Huỳnh Tấn Phát","Phở Cô Hai",,"https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20C%C3%B4%20Hai&query_place_id=ChIJCQKeqOo7dTERmkLRhpn67OQ",,"0"
"28/8 1971, 28/8 Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng châu Á","true",,,"10.6970759","106.73967",,,,,,,,,,,,,,,,,"21","Nhà Bè, Hồ Chí Minh","28/8 1971, 28/8 Huỳnh Tấn Phát","Bò né - bò né","5","https://www.google.com/maps/search/?api=1&query=B%C3%B2%20n%C3%A9%20-%20b%C3%B2%20n%C3%A9&query_place_id=ChIJXY7lSgA7dTEReeTz42OQLqg",,"1"
"1942 Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng phở","true",,,"10.6938412","106.7400256",,"Thứ Ba","07:00 to 21:00","Thứ Tư","07:00 to 21:00","Thứ Năm","07:00 to 21:00","Thứ Sáu","07:00 to 21:00","Thứ Bảy","07:00 to 21:00","Chủ Nhật","07:00 to 21:00","Thứ Hai","07:00 to 21:00",,"2","Nhà Bè, Hồ Chí Minh","1942 Huỳnh Tấn Phát","Phở Thìn 2","3.4","https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20Th%C3%ACn%202&query_place_id=ChIJdQc2F6s7dTERZdTYLUoLBeA",,"7"
"94 Huỳnh Tấn Phát, Phú Xuân, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.6924972","106.7374526",,"Thứ Ba","10:00 to 21:00","Thứ Tư","10:00 to 21:00","Thứ Năm","10:00 to 21:00","Thứ Sáu","10:00 to 21:00","Thứ Bảy","10:00 to 21:00","Chủ Nhật","10:00 to 21:00","Thứ Hai","10:00 to 21:00",,"1","Nhà Bè, Hồ Chí Minh","94 Huỳnh Tấn Phát","Quán Cô Yến ( Ăn Vặt Cô Yến)","3.8","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20C%C3%B4%20Y%E1%BA%BFn%20(%20%C4%82n%20V%E1%BA%B7t%20C%C3%B4%20Y%E1%BA%BFn)&query_place_id=ChIJZXbLDA87dTER4aWb3sWPSrs","https://www.facebook.com/Qu%C3%A1n-%C4%82n-C%C3%B4-Y%E1%BA%BFn-624939404629840/?ref=br_rs","10"
